1	English	English.class	English	en
2	Japanese	Japanese.class	Japanese	ja
3	Hebrew	Hebrew.class	Hebrew	iw
4	Spanish	Spanish.class	Spanish	es
5	Thai	Thai.class	Thai	th
6	German	German.class	German	de
7	French	French.class	French	fr
8	Italian	Italian.class	Italian	it
9	Norwegian	Norwegian.class	Norwegian	no
10	Swedish	Swedish.class	Swedish	sv
12	Dutch	Dutch.class	Dutch	nl
13	Esperanto	Esperanto.class	Esperanto	eo
14	Catalan	Catalan.class	Catalan	ca
15	Polish	Polish.class	Polish	pl
11	Trad.Chinese	Chinese.class	Chinese	zh
17	Russian	Russian.class	Russian	ru
18	Portuguese	Portuguese.class	Portuguese	pt
19	Greek	Greek.class	Greek	el
20	Bulgarian	Bulgarian.class	Bulgarian	bg
21	Indonesian	Indonesian.class	Indonesian	id
16	Pt. Brazillian	PortugueseBrazillian.class	PortugueseBrazillian	pt
22	Korean	Korean.class	Korean	ko
23	Smpl.Chinese	SimplifiedChinese.class	SimplifiedChinese	zn
