#/**
#  *
#  * Bulgarian message catalog
#  *
#  * GForge: Breaking Down the Barriers to Open Source Development
#  * Copyright 1999-2001 (c) VA Linux Systems
#  * http://sourceforge.net
#  *
#  * @version   $Id$
#  * @author Delyan Toshev
#  *
#  */
#
# ChangeLog:
#
# 2000-10-14  Delyan Toshev
#	* Initial translation
#
#reporting       feature_req     Feature Reqs

account_change_pw	reader_password_incorrect	Името или паролата на акаунта за четене от директорния сървър е грешна (грешка в конфигурацията на GForge).
account_change_pw	ldap_server_unavailable	Директорният сървър е недостъпен.
account_change_pw	ldap_server_unavailable	Потребителят не е намерен в базата данни на директорния сървър.
account_change_pw	error_changing_own_ldap_password	Недостатъчни права за промяна на собствената парола (вероятно грешка в конфигурацията на директорния сървър).

menu	home			Начало
menu	login			Вход
menu	admin			Администриране
menu	about_gforge		За GForge
menu	account_maintenance	Регистрация
menu	bookmark_page		Отбележи страницата
menu	change_my_theme		Външен вид
menu	diary_notes		Дневник &amp; Бележки
menu	code_snippet_library	Софтуерна библиотека
menu	compile_farm		Фабрика за компилиране
menu	discussion_forums	Дискусионни форуми
menu	documentation		Документи
menu	login			Вход (SSL защитена връзка)
menu	logout			Изход
menu	my_account		Моят акаунт
menu	my_personal_page	Моята лична страница
menu	mypage			Моята&nbsp;страница
menu	new_project		Регистриране на нов проект
menu	new_releases		Новоизлезли
menu	new_user		Нов потребител (SSL защитена връзка)
menu	other_site_mirrors	Огледални копия
menu	project_admin		Администриране на проект
#menu	project_help_wanted	Проекти търсещи помощ
menu	project_help_wanted	Помощ
menu	project_summary		Обща информация за проекта
#menu	projectree		Каталог на проектите
menu	projectree		Каталог
menu	register_project	Регистриране на нов проект
menu	search			Търсене
menu	site_status		Статус на сайта
menu	software_map		Карта на софтуера
menu	submit			Изпрати
menu	top_projects		Топ проекти
menu	code_snippet	Фрагменти
frs	file_download		Изтегляне
frs	file_monitor		Наблюдение
frs	file_notes		Бележки
frs	file_package		Модул
frs	file_version		Версия
frs	latest_file_releases	Последно издадени пакети
group	developers		Разработчици
group	developer_info		Участници в проекта
group	long_bugs		Проследяване на грешки
group	long_cvs		SCM хранилище
group	long_docman		Документация на проекта
group	long_forum		Публични форуми
group	long_ftp		Анонимно FTP пространство
group	long_homepage		Сайт на проекта
group	long_mail		Пощенски списъци
group	long_news		Последни новини
group	long_patch		Управление на поправките
group	long_pm			Управление на задачи
group	long_support		Управляване на поддръжката
group	long_survey		Допитвания
group	short_bugs		Грешки
group	short_cvs		SCM
group	short_docman		Документи
group	short_files		Пакети	
group short_forum		Форуми
group	short_homepage		Начало
group	short_mail		Списъци
group	short_main		Основно
group	short_news		Новини
group	short_patch		Поправки
group	short_pm		Задачи
group	short_summary		Резюме
group	short_support		Поддръжка
group	short_survey		Проучвания
group	project_admins		Администратори
group	public_area		Общодостъпни места
