#/**
#  *
#  * Russian message catalog
#  *
#  * GForge
#  * Copyright 1999-2001 (c) VA Linux Systems
#  * Copyright 2004 (c) Andrey Molchanov
#  * Copyright 2005 (c) Andrey P. Paskal
#  * http://gforge.org
#  *
#  * @version   $Id$
#  * @author Paul Sokolovsky <pfalcon@users.sourceforge.net>
#  *
#  */
account	title	Настройки аккаунта
account	updated	Изменено
account_change_email	desc	<p>Изменение вашего e-mail потребует подтверждение с нового адреса, для того чтобы убедиться в его корректности.</p><p>Нам надо проверять аккуратность e-mail для каждого пользователя с учетом уровня доступа для данного аккаунта. Если мы хотим связаться с пользователем по каким вопросам, по поводу shell-a или аккаунта проекта, то очень важно чтобы мы могли это сделать.</p <p>Отсылка нижерасположенной формы приводит к отсылке письма с URL-ом подтверждения по новому адресу. Вы должны посетить присланный линк для завершения смены вашего e-mail адреса.</p>
account_change_email	invalid_email	Неверный e-mail адресс
account_change_email	mailsent	<p>E-mail был послан на новый адрес. Следуйте инструкциям в e-mail чтобы завершить смену вашего e-mail адреса. </p><a href="/">[ Домой ]</a>
account_change_email	message	Вы запросили смену e-mail адреса на $1.\nПожалуйста посетите следующий линк чтобы завершить смену вашего e-mail адреса:\n\n<http://$1/account/change_email-complete.php?ch=_$2>\n\n -- the $1 staff
account_login	cookiewarn	Cookie должны быть включены в вашем браузере.
account_login	login	Авторизация
account_login	login_ssl	Авторизация с SSL
account_login	loginname	Регистрационное имя:
account_login	lostpw	[Забыли пароль?]
account_login	newaccount	[Зарегистрироваться]
account_login	passwd	Пароль:
account_login	resend_pending	[Отправить письмо ожидающему пользователю снова]
account_login	resend_pending_directions	Укажите имя пользователя и нажмите 'Отправить' для повторной отправки письма
account_verify	loginname	Регистрационное имя:
admin_add_language	submit	Отправить
admin_approve_pending	add_this_custom_response	Сделать шаблон из этого ответа
admin_approve_pending	admin_approve_pending	Сделать активным
admin_approve_pending	approve	Утвердить
admin_approve_pending	approve_all_on_this_page	Утвердить все на этой странице
admin_approve_pending	approving_group		Утверждаемая группа:
admin_approve_pending	approving_pending_projects	Утверждение ожидающих проектов
admin_approve_pending	canned_responses	Ответ по шаблону
admin_approve_pending	custom_response_title	Заголовок и текст произвольного ответа
admin_approve_pending	edit_project_details	[Редактирование деталей проекта]
admin_approve_pending	error_creating_group	Ошибка создания группы
admin_approve_pending	error_group_rejection	Ошибка отказа группе
admin_approve_pending	home_box	Домашняя область:
admin_approve_pending	manage_responses	(управление шаблонами ответов)
admin_approve_pending	no_pending_projects_to_approve	Нет проектов для утверждения
admin_approve_pending	none_found	Ничего не найдено
admin_approve_pending	other_information	Прочая информация
admin_approve_pending	pending_projects	Проекты, ожидающие принятия решения:
admin_approve_pending	pending_reason	Причина ожидания:
